GENE_SYMBOL,baseMean,logFC,lfcSE,stat,pvalue,Adj.p.values,log10Adj.p.values
HEPHL1,230.4146623,1.309915237,0.163785228,-7.997761787,1.26701E-15,2.9409E-13,12.53151974
LIF,972.5585976,1.309534112,0.11268198,-11.62150428,3.20444E-31,1.87719E-28,27.72649177
BST2,55.33769544,1.294052908,0.319107184,-4.055229628,5.00851E-05,0.002775435,2.556668939
HBEGF,989.2900786,1.293908866,0.112310111,-11.52085825,1.03574E-30,5.30904E-28,27.274984
MYEOV,68.78622261,1.284266609,0.280355485,21.03477275,4.51023E-06,0.000336272,3.473309293
OAS2,662.477914,1.268386002,0.130277967,-9.735997805,2.11729E-22,6.67871E-20,19.17530741
TNIP1,4660.215402,1.266138159,0.089216252,-14.19178825,1.02998E-45,9.74681E-43,42.0111375
IRF9,677.301388,1.252539773,0.112277766,-11.15572403,6.7144E-29,3.17694E-26,25.49799099
C15orf48,897.1370916,1.238035293,0.105938157,-11.68639633,1.49601E-31,9.20193E-29,28.03612107
NID1,77.58804313,-1.226832281,0.277866084,4.415192606,0.000010092,0.000674739,3.170864187
S100A12,53.04467463,1.225821904,0.325779902,14.28821772,0.000156844,0.007421113,2.129530955
IL32,858.4681244,1.222790552,0.119422173,-10.23922546,1.32291E-24,5.08577E-22,21.29364328
SLC6A14,1660.166997,1.220136019,0.108430345,-11.25271728,2.24565E-29,1.10504E-26,25.956622
CYP27B1,92.57150957,1.208015269,0.249447505,23.44742059,1.28375E-06,0.000110438,3.956881467
ITGB3,91.46770194,1.199981519,0.244365557,-4.910600053,9.07981E-07,8.09419E-05,4.091826605
C6orf223,45.17090343,1.157063788,0.365317292,-3.167284479,0.001538697,0.045284814,1.344047412
ZNF488,47.34138027,-1.137925177,0.320479137,3.550699705,0.000384209,0.015395874,1.812595652
P2RY6,44.55184171,1.137387194,0.345084401,-3.295968143,0.000980831,0.032049376,1.494180422
MAFF,447.5019654,1.135253212,0.135506607,-8.377843998,5.3906E-17,1.38157E-14,13.85962711
ATG9B,66.00409897,-1.128920705,0.282207106,4.000326994,0.000063255,0.003398093,2.468764739
STAT5A,62.55602145,1.121962444,0.299530245,-3.745740086,0.000179863,0.008287159,2.081594329
S100A9,12315.21804,1.109535203,0.088396436,-12.55180918,3.8853E-36,2.65539E-33,32.57587168
FAM167A,47.41238927,1.09877016,0.327822516,11.2525613,0.000795132,0.027604078,1.559026754
MMP13,70.51248616,1.096667429,0.302792129,-3.621849201,0.000292505,0.012365608,1.907784525
IL1A,2100.881989,1.074037969,0.132980291,-8.076670328,6.65592E-16,1.57464E-13,12.80281872
VTCN1,182.1986737,-1.072223154,0.198378047,5.404948649,6.4827E-08,7.25001E-06,5.139661394
CYP4F3,66.76086535,-1.070881199,0.303811725,3.524818533,0.000423773,0.016472222,1.783247813
IL1B,4401.203174,1.064606147,0.09665884,-11.01405882,3.26936E-28,1.48962E-25,24.82692451
MAP3K8,70.3342951,1.063647912,0.263831057,16.29966736,5.40734E-05,0.002995421,2.52354213
EDN1,254.5271975,1.062584325,0.168913467,-6.290702228,3.16033E-10,5.32581E-08,7.273614331
MIR221,49.07253265,-1.054632528,0.337087404,3.128661932,0.001756042,0.049547778,1.304975817
TLR2,119.5987818,1.052569651,0.25864764,-4.069511909,4.71117E-05,0.002646432,2.577339261
EPSTI1,98.11285772,1.046744971,0.260300622,-4.021292627,5.78796E-05,0.003122962,2.5054333
PPARGC1A,76.41142838,-1.045077009,0.253472702,4.123035741,3.73912E-05,0.002169746,2.663591104
TYMP,374.0459343,1.042687818,0.190612223,-5.470204395,4.49517E-08,5.16818E-06,5.286662369
IVL,2145.219732,1.040214811,0.132774993,-7.834418117,4.71019E-15,1.05354E-12,11.97734897
SOCS3,189.9443035,1.039536266,0.185646879,-5.599535374,2.14927E-08,2.64403E-06,5.577733622
METTL7A,149.499051,-1.033728173,0.196839399,5.25163245,1.50757E-07,1.57171E-05,4.803627584
PSMB9,70.71593233,1.017197656,0.319912452,-3.179612577,0.001474721,0.043715698,1.359362583
ADAM8,198.2004455,1.016403529,0.194760038,-5.21874784,1.80137E-07,1.80166E-05,4.744327163
PDGFB,226.1450722,1.016390591,0.168581851,-6.029062936,1.64913E-09,2.41519E-07,6.617048698
KRT4,355.4211645,1.014906573,0.184715645,-5.494426701,3.91982E-08,4.54921E-06,5.342064015
HELZ2,195.7082155,1.012830785,0.238616477,-4.244597013,2.18987E-05,0.001353755,2.868459926
IER3,5053.597585,0.95429059,0.102787345,-9.28412534,1.63E-20,5.01E-18,17.30016227
NFKB2,1182.224412,0.971203726,0.109344953,-8.882016927,6.57E-19,1.88E-16,15.72584215
NFKBIA,2307.037318,0.896916372,0.102814714,-8.723618767,2.69E-18,7.37E-16,15.13253251
NFKBIZ,1147.169591,0.911056604,0.110803514,-8.222271752,2E-16,4.91E-14,13.30891851
KRT15,10589.33634,-0.932981632,0.114548598,8.144854199,3.8E-16,9.16E-14,13.03810453
BPGM,821.595601,0.959027417,0.122457183,-7.831532559,4.82E-15,1.06E-12,11.97469413
G0S2,2428.08413,0.840120711,0.113437307,-7.406035427,1.3E-13,2.71E-11,10.56703071
SERPINB1,1810.39326,0.732571638,0.104305477,-7.023328565,2.17E-12,4.3E-10,9.366531544
EFNA1,1304.938961,0.72936034,0.105477125,-6.91486744,4.68E-12,9E-10,9.045757491
OLFML2A,413.2557849,-0.953618274,0.138475462,6.886550607,5.72E-12,1.08E-09,8.966576245
MXRA5,721.6233992,-0.904129651,0.132842397,6.806032366,1E-11,1.87E-09,8.728158393
TGM1,824.4773576,0.795976804,0.118352766,-6.725460105,1.75E-11,3.17E-09,8.498940738
TUBA1C,3536.352079,0.666478257,0.100944346,-6.602432755,4.04E-11,7.21E-09,8.142064735
GPNMB,2057.721369,-0.794952378,0.120826032,6.579313812,4.73E-11,8.31E-09,8.080398976
TFCP2L1,1332.608049,-0.630138005,0.097527291,6.461145381,1.04E-10,0.000000018,7.744727495
THBD,404.6867049,-0.982062229,0.152283556,6.448905278,1.13E-10,1.92E-08,7.716698771
S100P,685.7660507,0.693479321,0.11030466,-6.286944902,3.24E-10,5.38E-08,7.269217724
PLAU,10480.15768,0.548877093,0.088026815,-6.235339717,4.51E-10,7.39E-08,7.131355562
TSC22D3,663.0096162,-0.715736069,0.116053393,6.167299821,6.95E-10,0.000000112,6.950781977
CLCA2,3968.579995,-0.541579201,0.087961485,6.157003855,7.41E-10,0.000000118,6.928117993
XDH,692.4750387,0.732138766,0.118996404,-6.152612522,7.62E-10,0.00000012,6.920818754
KYNU,1282.269744,0.842733852,0.137064802,-6.148433721,7.83E-10,0.000000122,6.913640169
TGM2,3354.607587,0.720543752,0.118518613,-6.079583056,1.2E-09,0.000000185,6.732828272
PLSCR1,440.4812487,0.848511983,0.139754747,-6.071435849,1.27E-09,0.000000193,6.714442691
IFITM3,2124.169912,0.779222136,0.128541825,-6.062012392,1.34E-09,0.000000202,6.694648631
STC1,712.0104524,0.741527589,0.123799038,-5.989768569,2.1E-09,0.000000304,6.517126416
IFI44,280.8641257,0.885131627,0.149419121,-5.923817651,3.15E-09,0.000000445,6.351639989
PARP9,863.5526134,0.667878765,0.113024226,-5.90916471,3.44E-09,0.000000481,6.317854924
NEDD9,903.3863509,0.64064028,0.109178199,-5.867840697,4.42E-09,0.00000061,6.214670165
ITGA5,5034.52914,0.515984961,0.088064208,-5.859190405,4.65E-09,0.000000636,6.196542884
COL8A1,687.297139,0.664046569,0.113385606,-5.85653324,4.73E-09,0.000000639,6.194499142
ADRB2,595.2236396,0.702493143,0.121197708,-5.796257647,6.78E-09,0.000000907,6.042392713
SLPI,1668.25632,0.582960777,0.100807833,-5.782891688,7.34E-09,0.000000971,6.01278077
MAF,745.2344807,-0.83589753,0.145096991,5.760957012,8.36E-09,0.00000109,5.962573502
TUBA1A,6456.868178,0.561323185,0.097642566,-5.748754963,8.99E-09,0.00000116,5.935542011
DUSP4,1397.534752,0.644649587,0.112644917,-5.722846647,1.05E-08,0.00000134,5.872895202
MMP1,512.5367073,0.769389742,0.134691166,-5.712250959,1.11E-08,0.00000141,5.850780887
PARP12,353.5833461,0.783053506,0.138429358,-5.65670111,1.54E-08,0.00000194,5.71219827
SERPINB2,3748.590091,0.706939572,0.125973953,-5.611791584,0.00000002,0.00000249,5.603800653
DRAM1,569.0609946,0.703201602,0.125670348,-5.595604776,0.000000022,0.00000268,5.571865206
CSTB,12127.5925,0.655460707,0.117857893,-5.56144938,2.68E-08,0.00000323,5.490797478
RHOV,518.951524,0.672928259,0.121607117,-5.533625617,3.14E-08,0.00000375,5.425968732
FOSL1,1187.672333,0.5926033,0.107466089,-5.514328343,0.000000035,0.0000041,5.387216143
GJB2,2479.008377,0.48866934,0.089937057,-5.433459302,5.53E-08,0.0000063,5.200659451
KCTD11,4014.064819,0.456342418,0.084117284,-5.425073144,5.79E-08,0.00000654,5.184422252
TUBB3,2956.010452,0.662008082,0.123245722,-5.371448754,7.81E-08,0.0000085,5.070581074
ALOX15B,1418.567341,0.5606473,0.10510097,-5.334368467,9.59E-08,0.0000103,4.987162775
FEZ1,1016.996827,0.632838848,0.119470844,-5.297014956,0.000000118,0.0000126,4.899629455
PLAUR,614.5127834,0.68394914,0.129146864,-5.295902016,0.000000118,0.0000126,4.899629455
LCN2,6386.905106,0.719494418,0.136605443,-5.266952773,0.000000139,0.0000146,4.835647144
STAT1,1739.978823,0.524980586,0.100164292,-5.241194982,0.00000016,0.0000165,4.782516056
KRT17,40544.93948,0.474881472,0.090731452,-5.23392343,0.000000166,0.000017,4.769551079
VEGFA,3239.590805,0.446508436,0.085401657,-5.228334578,0.000000171,0.0000174,4.759450752
ZBED2,1000.577342,0.615304013,0.117789343,-5.223766404,0.000000175,0.0000177,4.752026734
EHD1,936.3727043,0.641655137,0.123863113,-5.180356939,0.000000221,0.000022,4.657577319
DTX2,1293.444159,0.795289914,0.153612683,-5.177241216,0.000000225,0.0000222,4.653647026
CPA4,2735.979509,-0.495907654,0.096040739,5.16351354,0.000000242,0.0000237,4.625251654
RHOF,432.732012,0.781815909,0.151472419,-5.161440712,0.000000245,0.0000237,4.625251654
ASS1,1468.386916,0.513573599,0.099840179,-5.143957116,0.000000269,0.0000259,4.586700236
TNC,2957.950069,0.557279339,0.108721414,-5.125755088,0.000000296,0.0000283,4.548213564
HDGF,9220.149163,0.410148375,0.081286879,-5.045689763,0.000000452,0.0000421,4.375717904
KRT23,907.426656,0.589640275,0.116841779,-5.046484904,0.00000045,0.0000421,4.375717904
CD109,6247.425449,-0.445573067,0.088259336,5.048452515,0.000000445,0.0000421,4.375717904
SESN3,1275.975388,-0.740915837,0.14864275,4.984540687,0.000000621,0.0000566,4.247183569
NFKB1,1053.577803,0.509015366,0.102110724,-4.984935445,0.00000062,0.0000566,4.247183569
SEPP1,213.4417817,-0.898563295,0.180232488,4.985578943,0.000000618,0.0000566,4.247183569
DUSP10,885.4398956,-0.557657514,0.112481946,4.957751293,0.000000713,0.0000645,4.190440285
PRSS23,4901.505984,-0.453229671,0.091493654,4.953673284,0.000000728,0.0000654,4.184422252
F3,12707.45756,0.415674469,0.08473969,-4.905310257,0.000000933,0.0000826,4.083019953
CDC42EP2,354.2204353,0.736826052,0.150986073,-4.880092823,0.00000106,0.0000932,4.030584088
FDPS,4851.100771,0.486821093,0.100318601,-4.85275003,0.00000122,0.000106234,3.973736466
ENDOD1,1565.857751,-0.468507086,0.096978088,4.831061265,0.00000136,0.000116021,3.935463396
ANGPTL4,4355.892447,0.532300283,0.11037411,-4.822691508,0.00000142,0.000120164,3.920225623
SLITRK6,720.1882136,-0.601529118,0.124822067,4.81909275,0.00000144,0.000121514,3.915373683
AQP3,2074.538832,-0.491989722,0.102216003,4.813235769,0.00000149,0.00012428,3.905598755
IKBKE,341.7802093,0.708205058,0.14849895,-4.769091357,0.00000185,0.000151081,3.820790149
C15orf52,1715.541491,0.47572634,0.09975141,-4.769118971,0.00000185,0.000151081,3.820790149
WWC1,973.3073526,0.500766101,0.104953185,-4.771328307,0.00000183,0.000151081,3.820790149
SLC25A37,428.2384439,0.624864975,0.131035411,-4.768672608,0.00000185,0.000151081,3.820790149
PCDH7,473.368731,-0.618561744,0.130171187,4.751909842,0.00000202,0.00016202,3.790431372
PBX1,333.4101107,-0.659853759,0.140132395,4.708788137,0.00000249,0.00019778,3.703817627
BMP2,241.4120459,0.786162332,0.166925708,-4.709654022,0.00000248,0.00019778,3.703817627
OTUB2,522.8658586,0.628100854,0.133721561,-4.697079897,0.00000264,0.000208115,3.681696617
CXCL16,1009.974167,0.516356259,0.110076211,-4.690897838,0.00000272,0.000211788,3.674098651
SERPINB13,1155.473691,-0.722820871,0.154146632,4.689177183,0.00000274,0.000212233,3.673187087
HCAR3,474.3113376,0.624949026,0.133482376,-4.681884195,0.00000284,0.000218553,3.660443228
IFIH1,298.7198349,0.676056338,0.144699908,-4.672126946,0.00000298,0.000227775,3.642493945
FAM83A,7488.014893,0.383775089,0.082255106,-4.665668863,0.00000308,0.000233597,3.631532739
ALDH1A3,14553.55685,0.407739532,0.08838884,-4.61302049,0.00000397,0.000297693,3.526231377
PROS1,330.6688488,-0.656198574,0.142687424,4.598853597,0.00000425,0.000316737,3.499301201
BCL3,362.6674104,0.728968024,0.159012906,-4.584332431,0.00000455,0.000337519,3.471701774
CTSH,1328.193817,-0.531294533,0.116256946,4.570002474,0.00000488,0.000357138,3.447163938
VAV3,412.3757943,-0.640094924,0.140243784,4.564158966,0.00000502,0.000365057,3.43763932
SMTN,1337.197828,0.635771328,0.139345778,-4.56254462,0.00000505,0.000365712,3.436860789
LDLR,6680.43155,0.398784678,0.087450044,-4.560142677,0.00000511,0.000367757,3.434439052
IL6R,665.0563874,-0.587506356,0.130684598,4.495605174,0.00000694,0.000496174,3.304365997
TUBB4B,5677.839789,0.428223947,0.095347789,-4.491178555,0.00000708,0.000503672,3.297852192
EPHA4,165.4150263,-0.826193172,0.184096124,4.487835786,0.0000072,0.000508697,3.293540824
FXYD5,8238.043719,0.419149089,0.093466583,-4.484480729,0.00000731,0.000513814,3.289194067
PRDM1,239.9482407,0.710195452,0.158500925,-4.480702256,0.00000744,0.000520024,3.283976612
TUBA4A,7604.17205,0.433690559,0.096850828,-4.47792309,0.00000754,0.000523862,3.280783103
ALDH3A1,843.9049251,-0.626230392,0.141395008,4.428942727,0.00000947,0.000647196,3.188964176
CDCP1,4169.362868,0.376873787,0.085179445,-4.424468688,0.00000967,0.000657103,3.18236655
FLNB,20282.04047,0.381939091,0.086401038,-4.420538208,0.00000985,0.000665493,3.176856508
IDI1,2301.238511,0.414416366,0.093829467,-4.41669743,0.00001,0.000673722,3.171519271
KIAA0247,1061.687678,0.449939653,0.101990062,-4.411602888,0.0000103,0.000682317,3.166013808
PADI3,433.5089018,-0.639386386,0.145371458,4.39829382,0.0000109,0.000721619,3.14169204
RPL9,12587.96603,-0.428617785,0.097502703,4.395957961,0.000011,0.000725524,3.139348217
SAMD4A,721.0783738,0.493841799,0.112456081,-4.391419249,0.0000113,0.000736897,3.132593212
NCCRP1,592.7164856,0.55851831,0.127244687,-4.389325182,0.0000114,0.000740092,3.13071429
TUBA1B,6545.545954,0.460295029,0.104978078,-4.384677615,0.0000116,0.00075209,3.123730186
DEK,1216.256866,-0.423988862,0.097435521,4.35148145,0.0000135,0.000870935,3.060014256
ADD3,1506.895239,-0.45840147,0.105387935,4.349657955,0.0000136,0.000873634,3.058670472
NEURL1B,700.2726491,0.48575106,0.111751809,-4.346695265,0.0000138,0.000880925,3.055061065
SAMHD1,198.9627445,0.799436955,0.184502733,-4.332927446,0.0000147,0.000933047,3.030096479
PTAFR,1840.219446,0.405778201,0.094213466,-4.30700854,0.0000165,0.001043949,2.981320717
HSD11B1,1181.50856,0.51584764,0.120411882,-4.284026049,0.0000184,0.001152003,2.93854639
ANXA3,4778.169179,0.447317134,0.10464455,-4.274633836,0.0000191,0.001195553,2.922431166
PDCD4,4541.105093,-0.39851654,0.09346538,4.263787735,0.0000201,0.00124878,2.903514065
GULP1,159.2920399,-0.854363259,0.202925309,4.210235108,0.0000255,0.001569151,2.804335262
TP53INP1,826.7489943,-0.552113567,0.131248814,4.206617582,0.0000259,0.001586537,2.799549795
SPRR1A,225.3468524,0.743022436,0.17795807,-4.175266869,0.0000298,0.001803709,2.743833528
FAT2,6527.986239,-0.365938411,0.087801656,4.167784845,0.0000308,0.001854792,2.731704786
EPHA2,2653.900852,0.492331176,0.118224274,-4.164383159,0.0000312,0.001864383,2.729464866
HAS3,2097.033208,0.38187834,0.091687576,-4.164995475,0.0000311,0.001864383,2.729464866
B4GALT1,10184.58174,0.347401426,0.083504735,-4.16026019,0.0000318,0.00188919,2.723724362
ETS1,1361.893581,0.500859901,0.120587587,-4.153494678,0.0000327,0.001936594,2.712961418
TNFRSF10A,516.3267344,0.493837336,0.119108927,-4.146098426,0.0000338,0.00198114,2.703084833
DTX3L,834.6907382,0.431343091,0.10444193,-4.129980107,0.0000363,0.002115213,2.674645893
LAMB3,29136.41236,0.379279697,0.092323639,-4.108153688,0.0000399,0.002303504,2.637611029
USB1,1334.622825,0.416140174,0.101559264,-4.097510721,0.0000418,0.002400711,2.619660118
IRF2BPL,171.4661358,-0.74902369,0.183056296,4.091766877,0.0000428,0.002445293,2.611669095
MN1,274.4850172,-0.614179503,0.150126068,4.091091644,0.0000429,0.002445293,2.611669095
TCF4,375.9560867,-0.565670039,0.138454001,4.085617141,0.000044,0.002492137,2.603428087
TRAF3,578.6981148,0.506782787,0.124921644,-4.056805297,0.0000497,0.002769259,2.557636424
FKBP5,2322.408451,-0.432368972,0.106557671,4.057605326,0.0000496,0.002769259,2.557636424
IFIT3,352.5626946,0.729313158,0.179970892,-4.052395079,0.0000507,0.002796689,2.553355826
RAB15,175.5435928,-0.721103962,0.178258095,4.04528032,0.0000523,0.002870131,2.542098281
FGF1,161.7757181,-0.799810498,0.197905663,4.041372462,0.0000531,0.00290542,2.536791078
ACTN1,10420.5292,0.476749616,0.118239256,-4.032075579,0.0000553,0.0030029,2.52245913
SH3RF2,702.1893371,0.437767149,0.109896999,-3.983431348,0.0000679,0.003633225,2.439707706
TCN1,203.6400419,-0.690052922,0.173529716,3.976569183,0.0000699,0.003723441,2.429055523
SMAD3,3876.607023,0.358725496,0.090322302,-3.971615977,0.0000714,0.003769097,2.423762686
BID,349.6993031,0.550016662,0.138603879,-3.968263134,0.0000724,0.003806174,2.419511362
CRCT1,110.0111754,0.981048579,0.247670601,-3.961102268,0.0000746,0.00390547,2.408326694
DST,18868.2273,-0.392038323,0.099052612,3.957879712,0.0000756,0.003941749,2.404311034
WNT7A,520.5732465,0.539800094,0.137348104,-3.930160505,0.0000849,0.004406357,2.35592032
ZSWIM4,449.9724437,0.546580541,0.14025511,-3.897045478,0.0000974,0.005033138,2.298161162
CDA,939.9104808,0.49347901,0.126728594,-3.893983155,0.0000986,0.00507581,2.294494643
TUBB,13032.6397,0.382767397,0.098325199,-3.892871818,0.0000991,0.005077881,2.294317481
CD82,1818.056746,0.454371207,0.11675938,-3.891517797,0.0000996,0.00508512,2.293698794
NR2F2,2310.171323,-0.416018283,0.107042836,3.886465422,0.000101714,0.005170622,2.28645721
POU2F2,162.6032703,0.723884238,0.186914212,-3.872815399,0.000107585,0.005446562,2.263877548
LY6D,256.1338851,-0.678936968,0.175431942,3.870087507,0.000108796,0.005485295,2.260800011
CCDC14,577.8941601,-0.451948126,0.11686333,3.867321973,0.000110037,0.00552521,2.257651211
EFCAB7,161.561435,-0.7372642,0.190942116,3.861192159,0.000112835,0.005642673,2.248515117
PPP1R15A,2295.636961,0.378436595,0.098342521,-3.848148192,0.000119014,0.005927575,2.227122942
PRELID1,1880.549509,0.455391893,0.118470517,-3.843925951,0.000121082,0.005958181,2.224886308
HK2,1854.794892,0.357559971,0.093335669,-3.8309038,0.000127673,0.006232692,2.205324334
SQRDL,2038.050024,0.441623103,0.115785552,-3.814146895,0.000136654,0.006644742,2.177521877
IL7R,111.0222556,0.884285735,0.23197378,-3.812007271,0.000137843,0.006676151,2.175473849
SEMA7A,632.0508295,0.503758448,0.13221513,-3.810142219,0.000138887,0.006700338,2.173903289
SPARC,1084.047094,-0.412993801,0.108484065,3.806953588,0.000140689,0.006760772,2.17000371
RELB,124.4305257,0.887960964,0.234183927,-3.791724633,0.000149605,0.007145364,2.145975642
ANXA1,19091.91986,0.355800178,0.093846206,-3.791311261,0.000149854,0.007145364,2.145975642
RFTN1,462.7593665,0.482155732,0.12721117,-3.790199658,0.000150526,0.007149706,2.145711816
TAP1,649.4867513,0.422618149,0.111619839,-3.78622791,0.000152951,0.007236954,2.140444188
HYI,373.4223059,0.517673387,0.136964427,-3.779619266,0.000157068,0.007403275,2.130576118
FYB,2328.645891,-0.390728003,0.103883604,3.76120956,0.000169094,0.00790947,2.101852617
ERRFI1,2327.308429,0.385849253,0.102656328,-3.758650449,0.000170832,0.007960527,2.09905818
PTGS2,401.160582,0.541944194,0.144271216,-3.756426335,0.000172357,0.008001266,2.096841291
