"GENE_SYMBOL","baseMean","log2FoldChange","abs.log2FC.","lfcSE","stat","pvalue","padj","Log_FoldChange","absLogFC","logCPM","PValue","FDR_adjusted_P.value"
"CXCL5",104.7036113,3.487230856,3.487230856,0.301829295,144.9722293,2.17787e-33,1.33961e-30,0.106,0.106,4.475,0.692449596,0.78560284
"CXCL6",28.97124268,1.73228047,1.73228047,0.450459769,15.05977026,0.00010416,0.005273138,-0.278,0.278,-0.195,0.325248853,0.448473345
"CYP27B1",92.57150957,1.208015269,1.208015269,0.249447505,23.44742059,1.28375e-06,0.000110438,0.126,0.126,4.667,0.466145826,0.58713772
"CYP4F3",66.76086535,-1.070881199,1.070881199,0.303811725,3.524818533,0.000423773,0.016472222,0.369,0.369,-0.355,0.39707287,0.521455187
"EDN1",254.5271975,1.062584325,1.062584325,0.168913467,-6.290702228,3.16033e-10,5.32581e-08,0.359,0.359,4.295,0.079638301,0.147656802
"EPSTI1",98.11285772,1.046744971,1.046744971,0.260300622,-4.021292627,5.78796e-05,0.003122962,3.286,3.286,4.293,1.3568e-50,4.92214e-48
"FAM167A",47.41238927,1.09877016,1.09877016,0.327822516,11.2525613,0.000795132,0.027604078,0.366,0.366,1.433,0.126527765,0.213605232
"GBP5",28.63619206,1.833151388,1.833151388,0.476507924,-3.847053312,0.000119547,0.005930108,5.102,5.102,2.935,1.15499e-84,9.99155e-82
"HBEGF",989.2900786,1.293908866,1.293908866,0.112310111,-11.52085825,1.03574e-30,5.30904e-28,0.505,0.505,5.439,0.080517281,0.148918237
"HELZ2",195.7082155,1.012830785,1.012830785,0.238616477,-4.244597013,2.18987e-05,0.001353755,3.209,3.209,6.569,1.48095e-54,6.16845e-52
"HEPHL1",230.4146623,1.309915237,1.309915237,0.163785228,-7.997761787,1.26701e-15,2.9409e-13,-0.223,0.223,4.635,0.238355005,0.351569334
"ICAM1",1885.245505,1.863934773,1.863934773,0.13132363,-14.19344541,1.00593e-45,9.74681e-43,1.559,1.559,3.995,1.34047e-11,3.0547e-10
"IFI27",319.9808809,2.897123086,2.897123086,0.374411061,-7.737813832,1.01141e-14,2.18287e-12,2.547,2.547,4.771,6.76054e-20,4.58006e-18
"IFI44L",134.2364397,2.280814132,2.280814132,0.6277324,-3.633417888,0.000279691,0.012030646,6.281,6.281,5.562,1.7637e-70,1.04392e-67
"IFI6",203.7141021,2.346980119,2.346980119,0.565276552,-4.151914863,3.29705e-05,0.001940684,3.9,3.9,6.029,7.40827e-42,2.05712e-39
"IFITM1",113.5989393,1.616884357,1.616884357,0.237888149,-6.796826009,1.06949e-11,1.96371e-09,3.661,3.661,6.357,1.0031e-50,3.69866e-48
"IFITM10",194.4429149,-1.568796166,1.568796166,0.222246143,7.058822922,1.67919e-12,3.38646e-10,-2.731,2.731,-1.653,0.001600807,0.005706902
"IL1A",2100.881989,1.074037969,1.074037969,0.132980291,-8.076670328,6.65592e-16,1.57464e-13,0.539,0.539,7.886,0.016214237,0.039996778
"IL1B",4401.203174,1.064606147,1.064606147,0.09665884,-11.01405882,3.26936e-28,1.48962e-25,0.882,0.882,8.537,0.000174455,0.000862572
"IL32",858.4681244,1.222790552,1.222790552,0.119422173,-10.23922546,1.32291e-24,5.08577e-22,0.689,0.689,2.852,0.00031601,0.001434741
"IL36G",271.4482972,2.73429441,2.73429441,0.17755659,238.3942603,8.80711e-54,2.70863e-50,0.863,0.863,2.558,0.033983266,0.074014876
"IL6",114.4239897,2.928613881,2.928613881,0.275167504,114.847479,8.49892e-27,3.6053e-24,2.578,2.578,1.65,6.88106e-10,1.17249e-08
"INHBA",1217.265794,1.821223901,1.821223901,0.121117719,-15.03680809,4.21384e-51,5.75985e-48,0.403,0.403,5.348,0.034123348,0.074248074
"IRAK2",190.4156231,1.601889621,1.601889621,0.181927817,-8.805083501,1.30755e-18,3.6558e-16,0.751,0.751,4.619,0.000165133,0.000821539
"IRF7",54.90470019,1.575217374,1.575217374,0.335556715,-4.694340186,2.67469e-06,0.00020958,3.885,3.885,5.49,1.1669e-56,5.14626e-54
"IRF9",677.301388,1.252539773,1.252539773,0.112277766,-11.15572403,6.7144e-29,3.17694e-26,1.129,1.129,5.478,7.73326e-13,2.08307e-11
"ITGB3",91.46770194,1.199981519,1.199981519,0.244365557,-4.910600053,9.07981e-07,8.09419e-05,2.708,2.708,-2.387,0.000916826,0.003562144
"IVL",2145.219732,1.040214811,1.040214811,0.132774993,-7.834418117,4.71019e-15,1.05354e-12,-1.45,1.45,3.618,7.03432e-05,0.00039114
"KRT4",355.4211645,1.014906573,1.014906573,0.184715645,-5.494426701,3.91982e-08,4.54921e-06,-0.398,0.398,2.221,0.105755211,0.185397211
"KRT6B",2804.136584,1.550349726,1.550349726,0.109031781,-14.21924612,6.95987e-46,7.78366e-43,-0.351,0.351,9.578,0.174690743,0.275903672
"LIF",972.5585976,1.309534112,1.309534112,0.11268198,-11.62150428,3.20444e-31,1.87719e-28,1.981,1.981,4.224,2.2148e-07,2.38237e-06
"LTB",27.11112867,1.640632278,1.640632278,0.437969511,14.1335655,0.000170278,0.007964874,2.706,2.706,-0.633,1.28649e-11,2.93467e-10
"MAFF",447.5019654,1.135253212,1.135253212,0.135506607,-8.377843998,5.3906e-17,1.38157e-14,-0.022,0.022,4.933,0.947371834,0.977175424
"MAP3K8",70.3342951,1.063647912,1.063647912,0.263831057,16.29966736,5.40734e-05,0.002995421,0.863,0.863,1.202,0.002647203,0.008718832
"MAP7D2",54.27471523,-1.393441877,1.393441877,0.313714573,4.441750548,8.923e-06,0.000613244,0.401,0.401,-0.683,0.243088472,0.357210926
"METTL7A",149.499051,-1.033728173,1.033728173,0.196839399,5.25163245,1.50757e-07,1.57171e-05,-0.312,0.312,0.736,0.405050952,0.529305486
"MIR221",49.07253265,-1.054632528,1.054632528,0.337087404,3.128661932,0.001756042,0.049547778,1.648,1.648,-3.445,0.053724864,0.107535786
"MMP13",70.51248616,1.096667429,1.096667429,0.302792129,-3.621849201,0.000292505,0.012365608,5.254,5.254,1.953,1.10805e-32,1.88804e-30
"MMP9",318.4500932,2.287329667,2.287329667,0.218545417,-10.46615251,1.23564e-25,4.90348e-23,-0.344,0.344,6.894,0.213785395,0.323518879
"MRGPRX3",26.45569136,1.96104027,1.96104027,0.466654497,17.82849914,2.41735e-05,0.001494386,-0.329,0.329,3.511,0.058698188,0.115334991
"MX1",427.8200828,2.51217385,2.51217385,0.198363082,-12.66452316,9.29836e-37,6.72873e-34,5.335,5.335,8.171,1.22517e-86,1.31222e-83
"MX2",60.85341305,2.222307293,2.222307293,0.373385235,-5.951781394,2.6524e-09,3.79416e-07,5.829,5.829,5.95,5.1909e-101,1.16754e-97
"MYEOV",68.78622261,1.284266609,1.284266609,0.280355485,21.03477275,4.51023e-06,0.000336272,0.933,0.933,-0.934,0.003855964,0.012002261
"MYLK",90.68030293,-1.426723178,1.426723178,0.264517215,5.393687438,6.90262e-08,7.58179e-06,-0.077,0.077,2.335,0.804997595,0.874306142
"NANOS1",33.97159896,-1.51573542,1.51573542,0.395465781,3.832785266,0.000126701,0.006209841,-0.336,0.336,1.133,0.061615123,0.120114692
"NID1",77.58804313,-1.226832281,1.226832281,0.277866084,4.415192606,1.0092e-05,0.000674739,0.538,0.538,-0.024,0.072054643,0.136322188
"OAS1",197.5431916,1.697509317,1.697509317,0.1885091,-9.004919751,2.15824e-19,6.47576e-17,4.78,4.78,6.477,1.99736e-77,1.44918e-74
"OAS2",662.477914,1.268386002,1.268386002,0.130277967,-9.735997805,2.11729e-22,6.67871e-20,4.488,4.488,6.807,1.5722e-86,1.60736e-83
"OAS3",976.3912554,1.31993429,1.31993429,0.132387511,-9.970232705,2.05746e-23,7.44438e-21,3.718,3.718,6.715,2.45025e-90,3.24183e-87
"P2RY6",44.55184171,1.137387194,1.137387194,0.345084401,-3.295968143,0.000980831,0.032049376,0.239,0.239,0.144,0.303035553,0.424138952
"PDGFB",226.1450722,1.016390591,1.016390591,0.168581851,-6.029062936,1.64913e-09,2.41519e-07,-0.055,0.055,2.804,0.856519945,0.912247684
"PDZK1IP1",133.0491871,2.429979913,2.429979913,0.244169051,-9.952038994,2.47068e-23,8.6841e-21,0.179,0.179,2.172,0.408369966,0.532571781
"PGLYRP4",104.2198601,2.039496417,2.039496417,0.236218072,75.85553761,3.05195e-18,8.16198e-16,0.125,0.125,-0.405,0.703445351,0.794471145
"PI3",71.22527732,1.802981151,1.802981151,0.298968488,-6.030672878,1.63278e-09,2.41519e-07,0.487,0.487,5.107,0.018942661,0.04557261
"PLAT",444.1584488,1.397149728,1.397149728,0.142225033,-9.823514895,8.91787e-23,3.04744e-20,0.173,0.173,4.212,0.297725299,0.41865817
"PPARGC1A",76.41142838,-1.045077009,1.045077009,0.253472702,4.123035741,3.73912e-05,0.002169746,0.059,0.059,-2.538,0.923707395,0.960163912
"PSMB9",70.71593233,1.017197656,1.017197656,0.319912452,-3.179612577,0.001474721,0.043715698,2.607,2.607,2.542,4.24851e-23,3.79196e-21
"RBM20",21.28263711,-1.581691741,1.581691741,0.491509532,10.5019423,0.001192491,0.037276388,2.779,2.779,-0.887,7.98842e-12,1.88537e-10
"RHCG",1094.757908,1.350891085,1.350891085,0.116695235,-11.57623179,5.43845e-31,3.04108e-28,-1.22,1.22,6.641,5.54677e-07,5.44082e-06
"RND1",55.38227091,1.518487009,1.518487009,0.318643601,22.76325785,1.83236e-06,0.000152308,3.637,3.637,1.655,7.20751e-25,7.30231e-23
"S100A12",53.04467463,1.225821904,1.225821904,0.325779902,14.28821772,0.000156844,0.007421113,-0.95,0.95,0.814,0.000575727,0.002407372
"S100A8",1707.558374,1.871403901,1.871403901,0.121591018,-15.39097154,1.88185e-53,3.85843e-50,-1.372,1.372,7.812,3.74824e-07,3.83555e-06
"S100A9",12315.21804,1.109535203,1.109535203,0.088396436,-12.55180918,3.8853e-36,2.65539e-33,-0.988,0.988,9.464,7.53617e-07,7.119e-06
"SAA1",3317.372752,2.223957417,2.223957417,0.138607282,-16.04502586,6.19331e-58,1.90475e-54,-0.105,0.105,4.678,0.490885959,0.609515629
"SAA2",576.0236324,2.424541694,2.424541694,0.128532569,-18.86324782,2.28728e-79,9.37939e-76,-0.098,0.098,2.952,0.595613489,0.704117449
"SERPINA3",2126.88061,1.469928845,1.469928845,0.146086561,-10.06204014,8.12959e-24,3.03061e-21,-1.021,1.021,0.881,0.050799435,0.102891057
"SLC6A14",1660.166997,1.220136019,1.220136019,0.108430345,-11.25271728,2.24565e-29,1.10504e-26,0.26,0.26,3.704,0.261274079,0.377793415
"SOCS3",189.9443035,1.039536266,1.039536266,0.185646879,-5.599535374,2.14927e-08,2.64403e-06,1.176,1.176,4.285,1.17242e-09,1.93045e-08
"SOD2",2001.882444,1.521586969,1.521586969,0.117493346,-12.95040968,2.33704e-38,1.79689e-35,0.075,0.075,6.258,0.680226978,0.77619934
"SPRR2A",506.6641902,1.689861909,1.689861909,0.155894407,-10.83978532,2.22994e-27,9.79739e-25,0.694,0.694,4.255,0.001007483,0.003859046
"SPRR2D",365.3761159,2.981176529,2.981176529,0.197298091,-15.11001204,1.39114e-51,2.13923e-48,1.222,1.222,2.85,6.35902e-09,9.22823e-08
"SPRR2E",47.14769756,3.599939767,3.599939767,0.437272219,77.22442208,1.52595e-18,4.17161e-16,0.634,0.634,1.321,0.011981461,0.030968401
"STAT5A",62.55602145,1.121962444,1.121962444,0.299530245,-3.745740086,0.000179863,0.008287159,0.58,0.58,2.561,0.017037948,0.041649552
"STON1",30.61021002,-1.506072592,1.506072592,0.404171375,3.726321764,0.000194294,0.008885536,0.595,0.595,0.377,0.042273715,0.088695933
"TLR2",119.5987818,1.052569651,1.052569651,0.25864764,-4.069511909,4.71117e-05,0.002646432,1.388,1.388,2.467,1.26024e-07,1.42125e-06
"TNF",35.12527681,1.809097787,1.809097787,0.391529108,21.81282908,3.00584e-06,0.000229676,3.739,3.739,-1.418,2.10809e-17,1.04901e-15
"TNFAIP2",736.2916768,1.551551269,1.551551269,0.145378445,-10.67249871,1.36895e-26,5.80717e-24,1.866,1.866,3.365,3.9678e-10,7.06042e-09
"TNFAIP3",2289.431468,1.613686484,1.613686484,0.10570508,-15.26593123,1.28973e-52,2.26661e-49,2.796,2.796,5.973,3.36101e-35,6.74963e-33
"TNFSF14",33.04432667,1.994627993,1.994627993,0.41285483,23.67860114,1.13841e-06,9.93246e-05,3.941,3.941,-1.288,1.08954e-19,7.27177e-18
"TNIP1",4660.215402,1.266138159,1.266138159,0.089216252,-14.19178825,1.02998e-45,9.74681e-43,0.452,0.452,8.053,0.00663655,0.018873345
"TRIML2",46.97140479,1.399532845,1.399532845,0.342913857,16.77260559,4.21372e-05,0.002433673,0.951,0.951,-1.276,0.001200453,0.004480681
"TYMP",374.0459343,1.042687818,1.042687818,0.190612223,-5.470204395,4.49517e-08,5.16818e-06,1.678,1.678,6.555,3.20522e-11,6.879e-10
"VNN1",49.19202262,1.885235063,1.885235063,0.341536378,30.6242037,3.13163e-08,3.74032e-06,1.226,1.226,0.02,4.77848e-07,4.77042e-06
"VTCN1",182.1986737,-1.072223154,1.072223154,0.198378047,5.404948649,6.4827e-08,7.25001e-06,0.73,0.73,-1.843,0.106287096,0.186126546
"XAF1",94.74943781,2.533035725,2.533035725,0.31835858,-7.956549274,1.76904e-15,4.03013e-13,4.559,4.559,3.857,2.0446e-100,3.83235e-97
"ZC3H12A",870.9271457,1.676098106,1.676098106,0.136181724,-12.30780506,8.22291e-35,5.32412e-32,0.584,0.584,5.635,0.041827898,0.087899941
"ZNF488",47.34138027,-1.137925177,1.137925177,0.320479137,3.550699705,0.000384209,0.015395874,-1.188,1.188,0.954,1.43183e-06,1.27443e-05
