GENE_SYMBOL,adj.P.Val,P.Value,t,B,logFC,abs_logFC
BATF2,0.0000594,0.00000106,9.457666489,6.033534066,1.803893552,1.803893552
LOC100292905,0.0000594,0.00000106,9.459581093,6.035612076,1.691374822,1.691374822
SCD5,0.0000604,0.00000109,9.434578302,6.008446183,1.6316455,1.6316455
SPRR2F,0.0000618,0.00000115,-9.377552769,5.946249842,-1.066242614,1.066242614
LOC100128946,0.0000651,0.00000126,9.292993393,5.853411417,2.220577655,2.220577655
MORN2,0.0000676,0.00000133,-9.247867588,5.803566101,-1.311059014,1.311059014
ERV18-1,0.0000684,0.00000136,9.226812002,5.780236193,1.581918275,1.581918275
PIK3R2,0.0000686,0.00000137,9.216307077,5.768579342,1.020830346,1.020830346
NR1D1,0.0000689,0.0000014,9.197032051,5.747160791,1.022029201,1.022029201
BIRC3,0.0000708,0.00000147,9.156518242,5.702014974,1.002232446,1.002232446
TONSL,0.0000742,0.00000165,9.049779582,5.582245612,2.081922934,2.081922934
SCARB1,0.0000758,0.00000171,9.017639991,5.545945743,1.006665376,1.006665376
RTN4RL2,0.0000761,0.00000172,9.012383597,5.539998454,1.573960309,1.573960309
MAOB,0.000076,0.00000172,9.014851747,5.542791383,1.242609435,1.242609435
WNT3A,0.000077,0.00000175,8.994898516,5.520193894,1.146476009,1.146476009
LOC100130476,0.0000789,0.00000184,8.950686616,5.469970819,2.068905799,2.068905799
CMTM1,0.0000796,0.00000188,8.93401442,5.45097722,1.093043545,1.093043545
SPATS1,0.0000812,0.00000194,-8.902877172,5.415424093,-1.046088666,1.046088666
CALML5,0.000083,0.00000201,-8.874598621,5.38304406,-1.416697643,1.416697643
ZNF628,0.0000839,0.00000204,8.859656954,5.365900183,1.050895351,1.050895351
IL15RA,0.0000854,0.00000213,8.822328501,5.322963602,1.760784193,1.760784193
EDN1,0.000086,0.00000216,8.80772735,5.306127355,1.047002472,1.047002472
LOC642620,0.0000892,0.00000231,8.751530009,5.241108983,2.223617086,2.223617086
MRC2,0.0000893,0.00000234,8.738837008,5.226375427,1.033851826,1.033851826
MAG,0.0000894,0.00000235,8.735596559,5.222611182,1.360384028,1.360384028
ATP13A3,0.0000894,0.00000235,8.733871886,5.220607254,1.160606647,1.160606647
PAX7,0.0000896,0.00000236,8.729974672,5.216077799,1.242948555,1.242948555
DUS1L,0.0000899,0.00000239,8.721925737,5.206717772,1.0842506,1.0842506
UHRF1,0.0000905,0.00000242,8.707829157,5.19030769,1.044746696,1.044746696
LY9,0.0000911,0.00000247,8.690738674,5.17038276,1.343972983,1.343972983
TMEM239,0.0000913,0.0000025,8.680859887,5.158850764,3.254896798,3.254896798
IQCG,0.0000932,0.00000258,-8.652414845,5.125584691,-1.351733706,1.351733706
KRTAP3-1,0.0000956,0.00000271,8.609747899,5.075516601,1.39118846,1.39118846
PRKCA,0.0000982,0.00000283,8.573109256,5.032359259,1.012833592,1.012833592
KRTAP1-3,0.0000982,0.00000284,8.571121426,5.03001343,1.132889538,1.132889538
HMX3,0.000100915,0.00000297,8.529679554,4.981006256,1.139686273,1.139686273
