,baseMean,log2FoldChange,absoluteLogFC,lfcSE,stat,pvalue,padj
KLRK1,770.0848419,0.579219298,0.579219298,0.163094468,3.551434354,0.000383138,0.002263639
IL23R,12.0278906,0.57786844,0.57786844,0.235142263,6.073147433,0.013725217,0.041249842
HLA-DPB1,2962.426993,-0.572346045,0.572346045,0.168253077,12.09109525,0.000506632,0.002845327
CXCL11,15.99711771,-0.567853066,0.567853066,0.237220575,5.909859443,0.015056373,0.044528423
RORC,34.7774149,-0.562532016,0.562532016,0.194520818,8.590944025,0.003378388,0.012778122
IL6,9.844481713,-0.561454278,0.561454278,0.187704449,-2.991161276,0.002779187,0.011174647
TBK1,204.4274299,0.553357926,0.553357926,0.157726375,3.50834112,0.00045091,0.002510357
IL6ST,753.7151142,0.548637909,0.548637909,0.166213768,3.300797025,0.000964106,0.004730656
IKBKE,157.3718324,0.547200338,0.547200338,0.158353264,3.455567168,0.000549136,0.002943981
EGR2,11.03232417,-0.546742983,0.546742983,0.175125753,9.685320543,0.00185746,0.007757282
IL7,20.9060003,-0.545460302,0.545460302,0.18882443,8.515327883,0.003521675,0.013230075
CD14,1187.311034,0.53642053,0.53642053,0.19873556,2.699167323,0.006951322,0.024692118
CFH,46.53247951,0.529123425,0.529123425,0.219330997,2.412442523,0.015846036,0.047767924
CMKLR1,155.7520666,0.527459237,0.527459237,0.207769954,2.538669464,0.01112749,0.035993389
MIF,377.4513147,-0.527425506,0.527425506,0.168327129,10.20728404,0.00139887,0.00621108
CD59,377.2916556,-0.526610297,0.526610297,0.124602165,18.54721558,1.65747E-05,0.00015692
CSF1R,40.23149105,-0.518065042,0.518065042,0.160453952,10.64407609,0.00110424,0.005159308
IL23A,22.53829641,-0.512214162,0.512214162,0.213476527,5.878748899,0.015324707,0.044844933
BTK,180.1168222,-0.511922896,0.511922896,0.121156561,18.45378964,1.74074E-05,0.000161309
STAT6,760.6525703,-0.50834144,0.50834144,0.14448671,12.86403692,0.000334957,0.001919961
C4A/B,20.0955674,-0.50701533,0.50701533,0.162455295,9.826220959,0.001720415,0.00741512
PSMB8,1339.299395,0.490528523,0.490528523,0.153549686,3.194591517,0.001400289,0.006486138
ICOSLG,48.0516959,-0.48888719,0.48888719,0.167565824,8.709560929,0.003165454,0.01213788
IL18,64.38881101,0.483499854,0.483499854,0.189175778,2.555823259,0.010593691,0.034459254
SELPLG,173.1808527,-0.483155301,0.483155301,0.135005522,13.22544807,0.000276174,0.001633538
LILRA2,461.2129974,-0.480358792,0.480358792,0.181136395,7.295567234,0.006912494,0.023435041
CCL15,8.447066299,-0.479407677,0.479407677,0.200147799,-2.395268296,0.016608208,0.048764379
ATG7,192.4343452,-0.478215392,0.478215392,0.12710111,14.61552746,0.000131824,0.000832887
LILRB2,669.0110446,0.477797693,0.477797693,0.153327157,3.116197424,0.001831996,0.007799453
CCR6,96.49009223,-0.477471763,0.477471763,0.174767952,7.692940716,0.005543723,0.019758396
