,baseMean,log2FoldChange,absoluteLogFC,lfcSE,stat,pvalue,padj
IL26,7.520440343,0.005761977,0.005761977,0.212526526,0.006134639,0.937570376,0.95299658
CASP3,237.7210397,-0.009737398,0.009737398,0.142422079,0.004779964,0.944880344,0.958674218
STAT5A,239.7787611,0.007231375,0.007231375,0.110508767,0.004291524,0.947768163,0.959852638
CD7,202.2977871,-0.010779506,0.010779506,0.224600056,0.002393971,0.960976493,0.971459873
PTGS2,83.12658876,-0.010077707,0.010077707,0.223929442,0.00207146,0.963698174,0.972443167
PTK2,130.5212674,-0.006510917,0.006510917,0.191670316,0.001198229,0.972386388,0.979432667
CD24,178.671781,-0.013202778,0.013202778,0.438127841,0.000918585,0.975821285,0.981115071
LY96,378.3343116,-0.01038988,0.01038988,0.374640192,0.000781141,0.977702901,0.981232514
IL28A,7.514784936,0.005555989,0.005555989,0.212441347,0.02615305,0.979135264,0.984716358
GZMA,1337.293726,0.002904014,0.002904014,0.228616182,0.000162272,0.989836346,0.991619835
BLNK,50.77016905,-0.00034565,0.00034565,0.172383948,1.93713E-05,0.996488295,0.996488295
