"GENE_SYMBOL","baseMean","log2FoldChange","abs.log2FC.","lfcSE","stat","pvalue","padj","Log_FoldChange","adjLogFoldChange","logCPM","PValue","FDR_adjusted_P.value"
"OAS1",197.5431916,1.697509317,1.697509317,0.1885091,-9.004919751,2.15824e-19,6.47576e-17,4.928,4.928,6.813,2.5055e-49,3.97569e-46
"OAS2",662.477914,1.268386002,1.268386002,0.130277967,-9.735997805,2.11729e-22,6.67871e-20,4.315,4.315,6.845,1.15645e-45,1.35213e-42
"OAS3",976.3912554,1.31993429,1.31993429,0.132387511,-9.970232705,2.05746e-23,7.44438e-21,3.296,3.296,6.545,2.40399e-45,2.67023e-42
"P2RY6",44.55184171,1.137387194,1.137387194,0.345084401,-3.295968143,0.000980831,0.032049376,0.422,0.422,0.203,0.06584599,0.277776047
"PDGFB",226.1450722,1.016390591,1.016390591,0.168581851,-6.029062936,1.64913e-09,2.41519e-07,0.287,0.287,2.89,0.132634835,0.421479218
"PDZK1IP1",133.0491871,2.429979913,2.429979913,0.244169051,-9.952038994,2.47068e-23,8.6841e-21,0.221,0.221,2.18,0.281456651,0.62638344
"PGLYRP4",104.2198601,2.039496417,2.039496417,0.236218072,75.85553761,3.05195e-18,8.16198e-16,-0.761,0.761,-0.612,0.037153568,0.191678242
"PI3",71.22527732,1.802981151,1.802981151,0.298968488,-6.030672878,1.63278e-09,2.41519e-07,-0.607,0.607,4.823,0.008655468,0.068193379
"PLAT",444.1584488,1.397149728,1.397149728,0.142225033,-9.823514895,8.91787e-23,3.04744e-20,0.18,0.18,4.207,0.233538325,0.570115812
"PPARGC1A",76.41142838,-1.045077009,1.045077009,0.253472702,4.123035741,3.73912e-05,0.002169746,1.788,1.788,-2.071,0.000696141,0.009358372
"PSMB9",70.71593233,1.017197656,1.017197656,0.319912452,-3.179612577,0.001474721,0.043715698,2.902,2.902,2.913,7.11439e-25,1.79598e-22
"RBM20",21.28263711,-1.581691741,1.581691741,0.491509532,10.5019423,0.001192491,0.037276388,1.439,1.439,-1.317,3.35568e-05,0.000694747
"RHCG",1094.757908,1.350891085,1.350891085,0.116695235,-11.57623179,5.43845e-31,3.04108e-28,-0.336,0.336,6.759,0.128820517,0.41522748
"RND1",55.38227091,1.518487009,1.518487009,0.318643601,22.76325785,1.83236e-06,0.000152308,2.333,2.333,0.947,2.67073e-18,3.90331e-16
"S100A12",53.04467463,1.225821904,1.225821904,0.325779902,14.28821772,0.000156844,0.007421113,-0.388,0.388,0.849,0.087830535,0.331458678
"S100A8",1707.558374,1.871403901,1.871403901,0.121591018,-15.39097154,1.88185e-53,3.85843e-50,0.054,0.054,8.034,0.779500746,0.94729809
"S100A9",12315.21804,1.109535203,1.109535203,0.088396436,-12.55180918,3.8853e-36,2.65539e-33,-0.037,0.037,9.617,0.835444449,0.965294947
"SAA1",3317.372752,2.223957417,2.223957417,0.138607282,-16.04502586,6.19331e-58,1.90475e-54,0.646,0.646,4.899,3.53704e-06,9.44414e-05
"SAA2",576.0236324,2.424541694,2.424541694,0.128532569,-18.86324782,2.28728e-79,9.37939e-76,0.616,0.616,3.157,1.95787e-05,0.00043149
"SERPINA3",2126.88061,1.469928845,1.469928845,0.146086561,-10.06204014,8.12959e-24,3.03061e-21,0.559,0.559,0.176,0.078005193,0.308837168
"SLC6A14",1660.166997,1.220136019,1.220136019,0.108430345,-11.25271728,2.24565e-29,1.10504e-26,-0.129,0.129,3.582,0.534804296,0.833103674
"SOCS3",189.9443035,1.039536266,1.039536266,0.185646879,-5.599535374,2.14927e-08,2.64403e-06,1.115,1.115,4.312,8.17707e-15,7.76298e-13
"SOD2",2001.882444,1.521586969,1.521586969,0.117493346,-12.95040968,2.33704e-38,1.79689e-35,0.394,0.394,6.346,0.013628181,0.094550292
"SPRR2A",506.6641902,1.689861909,1.689861909,0.155894407,-10.83978532,2.22994e-27,9.79739e-25,0.448,0.448,4.189,0.038653376,0.196449192
"SPRR2D",365.3761159,2.981176529,2.981176529,0.197298091,-15.11001204,1.39114e-51,2.13923e-48,0.786,0.786,2.714,0.000171349,0.002832232
"SPRR2E",47.14769756,3.599939767,3.599939767,0.437272219,77.22442208,1.52595e-18,4.17161e-16,0.25,0.25,1.214,0.298117869,0.642782158
"STAT5A",62.55602145,1.121962444,1.121962444,0.299530245,-3.745740086,0.000179863,0.008287159,0.726,0.726,2.64,0.000675715,0.009136341
"STON1",30.61021002,-1.506072592,1.506072592,0.404171375,3.726321764,0.000194294,0.008885536,-0.218,0.218,0.164,0.453733233,0.777901549
"TLR2",119.5987818,1.052569651,1.052569651,0.25864764,-4.069511909,4.71117e-05,0.002646432,1.871,1.871,2.802,2.77189e-13,2.28065e-11
"TNF",35.12527681,1.809097787,1.809097787,0.391529108,21.81282908,3.00584e-06,0.000229676,-3.015,3.015,-2.852,0.01021085,0.07722347
"TNFAIP2",736.2916768,1.551551269,1.551551269,0.145378445,-10.67249871,1.36895e-26,5.80717e-24,0.785,0.785,2.94,8.93991e-05,0.00162255
